"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2023",16.734,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2022",15.872,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2022",13.994,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2022",17.848,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2021",16.118,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2021",13.767,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2021",18.558,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2020",22.328,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2020",21.004,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2020",23.67,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2019",19.228,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2019",16.833,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2019",21.694,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2018",19.023,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2018",15.527,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2018",22.49,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2017",19.246,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2017",15.777,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2017",22.781,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2023",20.177,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2023",16.985,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2023",23.02,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2022",24.533,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2022",20.974,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2022",27.731,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2021",21.892,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2021",18.16,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2021",25.142,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2020",25.984,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2020",21.117,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2020",30.601,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2019",25.461,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2019",21.206,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2019",29.165,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2018",24.746,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2018",18.689,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2018",29.647,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2017",36.586,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2017",35.722,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2017",37.528,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
