"ref_area.label","source.label","indicator.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2002",25.766,,,,"Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2001",27.167,,,,"Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2000",27.4,,,,"Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2017",28.71,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2016",29.521,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2015",29.066,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2014",32.386,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","PC - Population Census","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2011",31.653,,,,"Data reference period: October | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2008",35.24,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Antigua and Barbuda","PC - Population Census","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2001",45.06,,,,"Data reference period: May"
"Australia","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2024",41.723,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2023",41.122,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2022",40.359,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2021",39.485,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2020",39.8,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2019",39.046,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2018",37.722,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2017",38.812,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","HIES - Household, Income and Labour Dynamics Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2016",39.137,,,,"Repository: ILO-STATISTICS - Micro data processing"
